title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Ocean's Eleven,movie,"Crime, Thriller",2001.0,7.7,637270.0,"BE, CH, HR, IT, SM"
Ocean's Twelve,movie,"Crime, Thriller",2004.0,6.5,422686.0,"BE, CH, IT, SM"
Saw,movie,"Horror, Mystery, Thriller",2004.0,7.6,483369.0,"AL, AT, AZ, BG, BY, CA, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, SM, UA"
Minority Report,movie,"Action, Crime, Mystery",2002.0,7.6,596796.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Jackie Brown,movie,"Crime, Drama, Thriller",1997.0,7.5,385281.0,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE"
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,6.5,173362.0,"AU, FJ, NZ, SG"
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,7.7,121062.0,ES
Amélie,movie,"Comedy, Romance",2001.0,8.3,810866.0,"JP, TH"
Saw III,movie,"Horror, Mystery, Thriller",2006.0,6.2,218786.0,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, RO, RS, SE, SI, SK, UA"
Saw II,movie,"Horror, Mystery",2005.0,6.6,284642.0,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, UA"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,6.2,499391.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
